,ticker,mutual_holders,inst_holders,avg_vol,beta,mcap
187,CNSP,0.019,0.0336,759820,2.113699,7932356.0
188,FBHS,0.1741,0.5184999999999998,1122630,1.623529,8393790464.0
189,IRRX,0.007,0.2107,3410,,286637504.0
190,HCSG,0.2553999999999999,0.5712999999999999,473630,0.348039,1323067264.0
191,BITF,0.0662,0.0951999999999999,3236690,1.919478,255444736.0
192,MMS,0.2326,0.5319999999999999,255290,0.732352,3901881856.0
193,GROY,0.0281,0.1089,376440,,322766496.0
194,CF,0.1602,0.5135,3329410,1.027941,18444851200.0
195,VLON,0.0272999999999999,0.1336,605720,,4734191.0
196,OVV,0.2037,0.4177,9443090,4.297912,11247499264.0
197,FINS,0.0250999999999999,0.4658,53740,0.445913,223104848.0
198,AGMH,0.0012,0.092,32630,,40576968.0
199,CHW,0.0086,0.2507,189210,1.411274,422637952.0
200,STIM,0.1098,0.5000999999999999,384670,2.354914,95188480.0
201,DHBCU,0.0007,0.2252,10200,,346452928.0
202,GVP,0.1077,0.2460999999999999,16310,1.377941,25289242.0
203,CELC,0.1036,0.2718,168330,1.515044,140685232.0
204,SCYX,0.2107,0.5032000000000001,73880,,47181696.0
205,VOXX,0.1025,0.6811999999999999,341870,1.211274,240188544.0
206,AOMR,0.068,0.7080000000000002,66320,,341475360.0
207,LJAQ,0.0083,0.3859,18560,,174221088.0
208,BRBS,0.3983,1.3148999999999995,48870,0.369117,278431776.0
209,TMST,0.2332,0.9492,657200,1.857352,802641664.0
210,UNIT,0.2464999999999999,1.1372999999999998,2205650,1.032352,2226149632.0
211,APWC,0.011,0.0126,4230,,17826030.0
212,AYTU,0.0384,0.0993,1280360,-0.390686,19359988.0
213,LEAP,0.1198,3.0635,139860,,454071104.0
214,NBY,0.0174999999999999,0.0301,575800,3.396568,13622395.0
215,DHY,0.0165,0.0892999999999999,522990,0.692647,194606320.0
216,ECOR,0.0453,0.1727999999999999,134600,0.920436,37752568.0
217,REXR,0.1839,0.5575,2312940,0.770588,8955912192.0
218,HCMAU,0.0034,0.1221,60,,
219,IPVI,0.0029,0.2947,12950,,351828128.0
220,NATR,0.0984,0.579,83440,0.806372,205707840.0
221,PHK,0.0301999999999999,0.0551999999999999,313860,0.770098,685588480.0
222,LMPX,0.0356,0.0722999999999999,41540,1.969737,70175216.0
223,YSG,0.0389999999999999,0.519,19517400,,1275858176.0
224,VIVE,0.0208,0.1309999999999999,960880,0.634313,6997716.0
225,GHL,0.1448,0.3978,439180,0.822058,154424080.0
226,FNHC,0.0851,0.1905,475120,0.883333,6368118.0
227,GHSI,0.0209,0.0399,4155590,0.648793,3908320.0
228,REVHU,0.0933,0.2586,21410,,
229,LFTR,0.0199,0.442,13350,,256285248.0
230,TGB,0.0425999999999999,0.3447999999999999,1646010,2.208096,303832928.0
231,BIOS,0.0071,0.0911,47620,,
232,SECO,0.0021999999999999,0.2027,331990,1.463274,16949558.0
233,PCOR,0.0701,0.653,668270,,6683905024.0
234,USER,0.0089,0.7882000000000002,777050,,888776128.0
235,JWN,0.1409,0.3322,4365820,2.395098,3364690432.0
236,EBACU,0.0202,0.1934,3470,,
237,GABC,0.1387999999999999,0.2916999999999999,118480,0.646568,
238,SPWR,0.1092,0.2548,2777420,1.75245,3110324224.0
239,PNTM,0.0172,0.3856999999999999,261530,,850424960.0
240,BROS,0.1359,0.3059,690590,,1824354432.0
241,FFIE,0.0178,0.0772,24308240,,1751549440.0
242,IMRA,0.0415,0.513,60600,2.695781,31005324.0
243,IVR,0.2343,0.4178,1565300,1.241666,4523361792.0
244,SISI,0.0006,0.0129,19230,1.697058,12722192.0
245,AXR,0.0455,0.1941,2800,0.788235,83344096.0
246,CCRN,0.1949,0.5505000000000001,450600,1.063725,854703232.0
247,MDXH,0.0007,0.1366,8320,1.367183,123107280.0
248,NRP,0.0032,1.1877,15300,0.566666,516407872.0
249,MOHO,0.0014,0.0172,1083370,1.253129,8034016.0
250,ECF,0.0232,0.2342,59350,1.05147,120685528.0
251,GTIM,0.0545,0.137,5590,2.110784,37242908.0
252,HPLT,0.0021,0.6422,50960,,252350000.0
253,GANX,0.007,0.0883,35490,,45083464.0
254,PIK,0.0097,0.0288,63030,,11731458.0
255,ALIM,0.0333,0.206,8490,1.606372,36078380.0
256,GRF,0.0012,0.018,780,0.683823,35984984.0
257,UONEK,0.0605,0.3753999999999999,289700,1.047549,236428176.0
258,TFII,0.182,0.6967000000000001,200990,1.47881,7924804096.0
259,CHSCL,0.1888,0.0036,41310,,
260,XTLB,0.0052,0.1733999999999999,1700,1.067021,8571993.0
261,OPA,0.0717999999999999,0.4329,15610,,244875008.0
262,ATHM,0.0958,0.3211,834990,0.196078,4727993856.0
263,HTLD,0.1868999999999999,0.3984,242130,0.533823,1105456256.0
264,RYAAY,0.1215999999999999,0.306,564570,1.531801,15371363328.0
265,HUBG,0.2694,0.5606,177980,0.904411,2446284288.0
266,ACRS,0.0914,0.4831999999999999,441740,0.484803,1000454080.0
267,CRESY,0.0369,0.1007999999999999,143760,1.620949,548309376.0
268,PBPB,0.1245,0.4359999999999999,30990,1.456372,152379248.0
269,DAWN,0.1127,0.4652,896850,,1213806464.0
270,FAST,0.1452,0.3835999999999999,3024060,1.304901,29126254592.0
271,ARVL,0.0541999999999999,0.1306,4438320,2.312231,1037610752.0
272,FDMT,0.1336999999999999,0.5697,249780,,273179808.0
273,LAD,0.1565,0.4622999999999999,253830,1.543137,8567815680.0
274,SABR,0.1737,0.5290000000000001,10876570,1.912745,2205840384.0
275,STE,0.1627999999999999,0.4708,468610,0.639215,20944816128.0
276,VERU,0.0767999999999999,0.4658,9779270,0.474509,1065995520.0
277,SMCI,0.1357,0.4407,535330,1.356372,2066526848.0
278,KTB,0.2254,0.6708999999999999,409400,1.173076,1920709376.0
279,DBL,0.0178,0.2709,67010,,240361216.0
280,DOGZ,0.0003,0.0229999999999999,332070,0.46837,57563248.0
281,DAR,0.1509,0.4483,2278960,1.106372,9532108800.0
282,OPY,0.1096999999999999,0.3106,90200,1.107843,434726688.0
283,AMTX,0.1756,0.3822,724650,-0.204411,175103824.0
284,ATOM,0.0846,0.2561,181590,1.459313,239915840.0
285,FWRG,0.0696,0.9166000000000002,128250,,879821120.0
286,PEAK,0.206,0.5783,4193550,0.748529,14134467584.0
287,EXAS,0.1949,0.5083,2118570,1.132843,8026619904.0
288,RCUS,0.1394999999999999,0.4288,818940,0.845994,2021780736.0
289,ICLR,0.1446,0.4225,492550,0.97549,17740650496.0
290,MRCC,0.0045,0.1226,58290,1.323529,201000848.0
291,TRMR,0.0164999999999999,0.1603,173800,1.382148,725830144.0
292,HNW,0.0231,0.1416999999999999,44600,0.789705,92660624.0
293,TBCP,0.0157999999999999,0.3427,54180,,517506944.0
294,NXE,0.0757,0.1466,1982370,1.573687,1840490496.0
295,LFT,0.0322,0.1446,45800,1.27549,61371836.0
296,ROLL,0.2526,0.5720999999999999,150200,1.340196,5713123840.0
297,MCAA,0.0058,0.261,54050,,291237504.0
298,ACST,0.0007,0.0083,67180,1.428842,40318928.0
299,SCX,0.2134,0.3989,10400,0.736764,49060148.0
300,STT,0.1583,0.4802999999999999,2124130,1.553921,23045595136.0
301,HLMN,0.0124999999999999,0.0732,3202480,,1658135680.0
302,AMC,0.1291,0.2629999999999999,44940000,1.5,7525417472.0
303,GRC,0.2062,0.3656,58990,0.579411,718742784.0
304,GAM,0.0332,0.2054,19490,1.05049,879979328.0
305,CPAAU,0.1805,0.6177,110,,
306,WNC,0.2437,1.1945,550610,1.567647,690698944.0
307,DNUT,0.0395,0.2113999999999999,819160,,2363256832.0
308,KMF,0.0295,0.2537,171360,,353509280.0
309,MUX,0.1223,0.1833,1362030,1.157843,190700368.0
310,IGMS,0.1195999999999999,0.5502,229670,-0.693991,673580288.0
311,EC,0.0033,0.01,1851360,1.050599,21339514880.0
312,ALT,0.2324999999999999,0.4979,2330740,1.347558,503488064.0
313,AIMC,0.2347,0.5498,245710,2.309313,2277379584.0
314,NYC,0.051,0.1831999999999999,29460,,66388500.0
315,PARA,0.1317,0.3804,6553620,1.531372,
316,MDWD,0.0062,0.0827,242110,1.40147,46047600.0
317,PRAA,0.2631,0.7055999999999999,342550,1.317647,1642901632.0
318,GDO,0.0126,0.2216999999999999,35170,,203046832.0
319,HPF,0.0075,0.0492,49640,0.853431,377258304.0
320,PTIC,0.0069,0.5042,30750,,283187520.0
321,ESTA,0.0659,0.5587,115080,1.189655,1335565824.0
322,BLEU,0.0073,0.1157,28960,,
323,GGMC,0.006,0.6098,17740,,342244416.0
324,SCOBU,0.0164,0.147,3600,,
325,API,0.0621999999999999,0.4004,666780,,721876352.0
326,ECVT,0.1084999999999999,0.5961000000000001,641510,0.770353,1333593728.0
327,NUS,0.2918,0.508,452670,1.25147,2060691712.0
328,CPNG,0.0886,0.7015,11120480,,27357493248.0
329,CHEF,0.2747,0.5516,724620,2.241176,1502866176.0
330,USAP,0.1887,0.8931999999999998,11980,1.309313,64231528.0
331,SNOA,0.0343,0.0574,12560,0.836764,9200080.0
332,OMIC,0.0532,0.4435000000000001,506610,,340836672.0
333,NVMI,0.1287,0.4077999999999999,147380,1.184313,2488041472.0
334,ISLE,0.0205,0.3417,27860,,260602432.0
335,JHX,0.0006,0.0096,126750,1.083377,10865550336.0
336,ASTE,0.2752,0.5869,115790,1.32647,940182080.0
337,HMC,0.0215999999999999,0.037,1375380,0.961517,41419661312.0
338,SBI,0.0115999999999999,0.2934,27360,0.202941,113644160.0
339,STRT,0.4085,0.6312000000000001,5420,1.012254,121535200.0
340,FFHL,0.0012,0.0664,12680,,16492493.0
341,PEP,0.1192,0.2967999999999999,4660110,0.653431,237649887232.0
342,HCKT,0.1141999999999999,0.4361,129150,0.659803,605079552.0
343,NID,0.0046,0.1343,79110,0.155392,620615296.0
344,XL,0.1671999999999999,0.4132,2754310,0.73813,172879568.0
345,UWMC,0.0993,0.4415,1463530,0.966253,6147801088.0
346,USB,0.1122,0.7303000000000002,5482340,1.006372,68994678784.0
347,ESS,0.189,0.5714999999999999,495930,0.770098,17112885248.0
348,SBUX,0.1246999999999999,0.2943,7725630,0.895098,
349,PFN,0.0235,0.0735,403120,0.709313,600245376.0
350,DNAY,0.082,0.5445,2452140,,57915044.0
351,SLQT,0.1664,0.4837999999999999,1440970,,385301280.0
352,KAR,0.2729,0.6016999999999999,699280,0.987745,1910598656.0
353,APM,0.0243,0.0636,112640,,45958572.0
354,ALX,0.0836,0.2795999999999999,11310,0.565196,1172991232.0
355,BBY,0.1438999999999999,0.4215,3023670,1.522058,17120724992.0
356,AQMS,0.0474,0.1595,354300,,55005480.0
357,ALKS,0.2768,0.635,1475850,0.899019,5150304256.0
358,BTOG,0.0005,0.0029,180090,0.108087,
359,BYD,0.1293,0.3604,1119220,1.965196,5574608384.0
360,BKR,0.3157,0.7763000000000001,8572040,1.492156,24767987712.0
361,AVYA,0.2236,0.5292,7828950,1.544197,218700544.0
362,VINP,0.0093999999999999,0.5588,21960,,606485760.0
363,CODX,0.0674999999999999,0.1577,423000,-1.53825,174377392.0
364,DUOL,0.0706,0.4432999999999999,969860,,4125325312.0
365,EPM,0.1503,0.4123,195950,1.092156,173875888.0
366,PAA,0.1451,0.2641999999999999,5299490,1.915686,7239221760.0
367,OESX,0.1561999999999999,0.4332,48190,2.189705,62455724.0
368,JYNT,0.3197,0.5795000000000001,194370,1.260784,227297744.0
369,QURE,0.2118,0.4901,840770,1.035784,1052297344.0
370,ABM,0.2925999999999999,0.594,431900,1.216176,2903425536.0
371,USLM,0.1091,0.453,7860,0.704901,616546880.0
372,IRBT,0.3056,0.6111000000000001,450860,1.224509,1092889472.0
373,KRON,0.1803,0.4645000000000001,378300,,253562848.0
374,ZM,0.2413,0.7402000000000001,4492330,-0.942167,35699802112.0
375,IMV,0.0049,0.1174,86190,1.865275,53267356.0
376,TPX,0.1713,1.0723,2570560,1.819117,4325699584.0
377,EPIX,0.157,0.9025,331730,1.635294,118317768.0
378,IRT,0.1152,0.4098,2284080,0.936274,4484939776.0
379,PTR,0.0027999999999999,0.0147,217320,0.764297,137140502528.0
380,DLNG,0.027,0.0726,104660,1.729411,119239128.0
381,PAQC,0.0053,0.2668999999999999,20320,,283762496.0
382,NTB,0.1782,0.3754999999999999,162570,1.679901,1614479872.0
383,PTC,0.1455,0.4475,627930,1.261274,12600516608.0
384,BMRC,0.1354999999999999,0.3339,28830,0.728921,516589024.0
385,MCHP,0.1817,0.4682,5057220,1.566176,32987080704.0
386,TG,0.2158,0.8479,198330,0.880392,335061056.0
387,MGNX,0.1711,0.6586,919670,2.109803,214403008.0
388,ANAB,0.1588999999999999,0.7061,221340,0.129901,561740288.0
389,PDCO,0.2587,0.4881,1339160,1.398529,2906355712.0
390,VRAR,0.0113,0.0549999999999999,64250,,54510752.0
391,MSTR,0.2903,0.4718,851440,1.615686,2481920768.0
392,NOVA,0.1443,0.6396000000000001,2759730,2.206088,2433926912.0
393,AEY,0.0219,0.0326,6760,0.461764,16561609.0
394,ARGO,0.2053,0.5428999999999998,172390,0.967156,1189507840.0
395,INSP,0.2113,0.4504,237200,1.567729,5563543040.0
396,DISAU,0.0455,0.2261999999999999,430,,
397,AREN,0.0371,0.2748,174630,0.386274,
398,NBTB,0.2185,0.4298999999999999,173450,0.603921,1645562112.0
399,ODC,0.2931,0.4937999999999999,112990,0.487254,226661568.0
400,PCTY,0.22,0.4115999999999999,289770,1.305392,10754889728.0
401,COVA,0.0074,0.3096,296350,,368984992.0
402,CD,0.0691,0.2621,2587290,,2735135232.0
403,TIGO,0.0193,0.0747,184270,0.80245,1441791744.0
404,KB,0.012,0.0321999999999999,237620,0.679538,14124231680.0
405,ARKO,0.1047999999999999,0.4299999999999999,238880,0.155737,1081279232.0
406,UMBF,0.2121,1.0464,177140,0.95147,4303449600.0
407,CYXT,0.0848,0.5054000000000001,1023300,,2089675776.0
408,MKC,0.1442999999999999,0.4678,1499840,0.471078,21940922368.0
409,HYB,0.0169,0.1938,79340,0.705882,163348608.0
410,MOMO,0.0868,0.3955000000000001,2058150,1.338725,1045079104.0
411,ADMP,0.0519,0.088,487950,1.140686,80383552.0
412,RCI,0.0511,0.3202,249900,0.355471,24065445888.0
413,AVDL,0.0127999999999999,0.4722,1265610,0.990196,255583648.0
414,FAF,0.1677,0.4931,899520,1.22647,5941687808.0
415,ALTO,0.1677,0.369,1731570,2.670098,294841632.0
416,RELX,0.0078,0.0246,1842320,0.487439,52218630144.0
417,CUBA,0.0121,0.1354,15880,1.388725,23902274.0
418,MRUS,0.1253999999999999,0.4804,504400,1.005882,1046734400.0
419,DDD,0.2514,0.4667999999999999,1407600,1.211274,1303757312.0
420,NTNX,0.2023,0.5124,2201400,1.543137,3400186368.0
421,DBTX,0.0795,0.6201000000000001,1275710,,124118536.0
422,HSAQ,0.0681,0.3459,48730,,204090992.0
423,CDNA,0.2944,0.5299,776420,0.656372,1386585728.0
424,CSAN,0.0003,0.0285,267120,1.047492,6264333824.0
425,CORZ,0.0106999999999999,0.0398999999999999,6796970,,
426,TCI,0.0058,0.0128999999999999,14170,0.588235,341339520.0
427,TROX,0.1358,0.7071999999999999,1408960,2.181862,2429560064.0
428,AGNCO,0.2748,0.0008,63790,1.005392,
429,EEX,0.1249999999999999,0.1863,436630,1.837433,263000640.0
430,PARAA,0.0547,0.1304,52560,1.531372,
431,KLXE,0.0399,0.146,217940,2.429966,44077372.0
432,APEN,0.0459,0.4752,137740,2.357352,160339552.0
433,COE,0.0002,0.2938,61410,-0.721568,26450290.0
434,MPWR,0.1604,0.4684999999999999,504990,0.915686,18228860928.0
435,SJM,0.1393,0.4088,902360,0.299019,14298497024.0
